ƒ,CREATOR & POST INFORMATION,,,,,,,,,CAMPAIGN DETAILS,,,,,TESTING INFO,,,,,,,,,PAID USAGE PERFORMANCE,,,,,,PAID DETAILS,,RENEWALS,,,,CONTRACT,
Creator's name,Instagram,Handle,Cost of content,"Percent of Ad Spend 
(if applicable)",Audience Size,Agency,Archetype,Persona,Sub persona,Primary Product,Secondary Product,Third Product,Routine Type,"Creator Post Date
OR
Date UGC received",Test Window (days),Test Window Ends,Link to Content,Status,Ad Launch Date,Ad Test Duration (days),Ad Test Expiration Date,Ad End Date,Link to Asana Task for Ad,Meta Spend,Content Cost Percentage (Target: <10%),CP1KAR,NB ROAS,NB % NEW VISITS,NB CPA,Ad Name,# OF ADS/ VARIATIONS,Cost to Renew,Renewal Status,Renewal Date,Offer (GWP?),Terms,Contract Link
Emily DiDonato,INSTAGRAM,emilydidonato,"$3,000",N/A,Powerhouse (1M+),Internal,Testimonial,LifeJuggler,,MB,,,One Product,,,,,Active,3/28,,,,M036,,,,,,,Video|MiracleBalm|EmilyAtHomeUGC|MakeupSittingOnTopOfSkinIsANo|TalkingToCamera|Testimonial|LifeJuggler|Internal|PartnershipWithInfluencer|M036|Listicle,,,,,No,,
Emily DiDonato,INSTAGRAM,emilydidonato,"$3,000",N/A,Powerhouse (1M+),Internal,Testimonial,LifeJuggler,,MB,,,One Product,,,,,Active,3/28,,,,RHM023,,,,,,,Video|MiracleBalm|EmilyCarUGC|MakeupRoutineThatFitsYourLifestyle|ModelApplication|Testimonial|LifeJuggler|Internal|PartnershipWithInfluencer|M035|RHM023|TrojanHorse,,,,,No,,
Emily DiDonato,INSTAGRAM,emilydidonato,"$3,000",N/A,Powerhouse (1M+),Internal,Testimonial,LifeJuggler,,MB,,,One Product,,,,,Active,3/28,,,,RHM023,,,,,,,Video|MiracleBalm|EmilyCarUGC|SkincareMeetsMakeup|ModelApplication|Testimonial|LifeJuggler|Internal|PartnershipWithInfluencer|M035|RHM023|OnTheGoMinimalist,,,,,No,,
Tonya Michelle Morris,INSTAGRAM,tonyamichelle26,"$1,500",N/A,Established (500k-1M),Internal,Testimonial,BeautyEnthusiast,,WTF,,,One Product,,,,,Active,4/7,,,,W013,,,,,,,Video|WTF|TonyaUGCMultiProduct|LookAtMySkinNow|ModelApplication|Testimonial|BeautyEnthusiast|Internal|PartnershipWithInfluencer|W013|25WK14A|Listicle,,,,,No,,
Tonya Michelle Morris,INSTAGRAM,tonyamichelle26,"$1,500",N/A,Established (500k-1M),Internal,Testimonial,LifeJuggler,,WTF,,,One Product,,,,,Active,4/7,,,,W012,,,,,,,Video|WTF|TonyaUGCBusyMom|SecretForActualNMML|ModelApplication|Testimonial|LifeJuggler|Internal|PartnershipWithInfluencer|W012|25WK14A|Listicle,,,,,No,,
Jacq Gould,INSTAGRAM,jacqgould,$850,N/A,Micro (10-100k),Superbloom,Storyboard,LifeJuggler,,MB,,,One Product,,90,10/19,CONTENT,Paused,08/21,60,10/20,10/20,M187,,,,,,,Static|MiracleBalm|Partnership|JacqGould|Storyboard|LifeJuggler|Internal|PartnershipWithjacqgould|M187|25Wk33|Listicle,,,,,No,,
Emily DiDonato,INSTAGRAM,emilydidonato,"$3,000",N/A,Powerhouse (1M+),Internal,Testimonial,LifeJuggler,,MB,JETM,,Multi Product,,N/A,N/A,,Active,9/4,,,,J075,,,,,,,Video|JETM|MiracleBalm|EmilyDMultiProductsPartnership|Testimonial|LifeJuggler|Internal|PartnershipWithemilydidonato|J075|25Wk36|Listicle,,,,,No,,
Nita Mann,INSTAGRAM,nextwithnita,"$2,000",N/A,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,,WTF,,,One Product,,90,11/10,CONTENT,Paused,9/4,30,10/4,10/10,RHM183,,,,,,,Video|WTF|NitaMannPartnershipV2|Testimonial|LifeJuggler|Superbloom|PartnershipWithnextwithnita|RHM183|25Wk36|Listicle,,,,,No,,
Shenae Grimes,INSTAGRAM,shenaegrimesbeech,"$4,000",N/A,Established (500k-1M),Superbloom,Testimonial,LifeJuggler,,MB,WTF,,Multi Product,,90,10/29,CONTENT,Paused,9/5,60,11/4,10/29,M185,,,,,,,Video|MiracleBalm|WTF|ShenaeGrimesPartnership|Testimonial|LifeJuggler|Internal|PartnershipWithshenaegrimesbeech|M185|25Wk35|Listicle,,,,,No,,
Allison Kelley,INSTAGRAM,allisonkelleyy,$500,N/A,Mid-tier (100-500k),Rickhouse,Testimonial,Minimalist,,MB,WTF,,Multi Product,,90,,CONTENT,Active,9/11,60,4/3,,RHM178,,,,,,,Video|AllisonKelleyPartnership|allisonkelleyy|MiracleBalm|WTF|Testimonial|Minimalist|Rickhouse|PartnershipWith|allisonkelleyy|RHM17825Wk37|Listicle,,"$6,500.00",Renewed,10/17,No,,
